Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,136,
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,TOTAL,NOT SPECIFIED,99,20
CENSUS,1997,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,219,
CENSUS,2002,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,167,
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,127,
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,79,21.8
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NOT HARVESTED,TOTAL,NOT SPECIFIED,10,
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - ACRES NOT HARVESTED,TOTAL,NOT SPECIFIED,20,19.1
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,150,
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,TOTAL,NOT SPECIFIED,151,15.1
CENSUS,1997,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,137,
CENSUS,2002,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,115,
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,128,
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,120,14.4
CENSUS,2007,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NOT HARVESTED,TOTAL,NOT SPECIFIED,29,
CENSUS,2012,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NOT HARVESTED,TOTAL,NOT SPECIFIED,46,24.5
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),5,
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT),1,
CENSUS,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),4,(H)
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,(H)
CENSUS,2015,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,69
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,23.9
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),12,
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),7,
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT),5,
CENSUS,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),8,85.8
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),8,85.8
CENSUS,2015,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),12,43
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH AREA HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,18.1
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),12,
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),7,
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT),5,
CENSUS,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),8,85.8
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),8,85.8
CENSUS,2015,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),12,43
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,18.1
CENSUS,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES IN ORGANIC MARKETS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES IN ORGANIC MARKETS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),8,85.8
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES IN ORGANIC MARKETS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),8,85.8
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),890,
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),586,
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT),304,
CENSUS,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),25,
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),113,(H)
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),113,(H)
CENSUS,2015,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),87,54.9
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),161,27.8
CENSUS,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"31,378",(H)
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"31,378",(H)
CENSUS,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),25,
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),83,(H)
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),83,(H)
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"87,938",
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"65,613",
CENSUS,2008,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT),"22,325",
CENSUS,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),"31,378",(H)
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"31,378",(H)
CENSUS,2015,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"13,369",63.7
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"51,490",27.2
CENSUS,2011,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),25,
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),83,(H)
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),83,(H)
CENSUS,2015,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),59,62.8
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),161,27.8
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,18.1
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"51,490",27.2
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),161,27.8
